variable_name,page_number
AALTMDE,490
ADWRGROW,472
AOMHMDE,489
ACOUNMDE,489
ADWRHRS,468
APPDRGMON,413
ACTD2001,9
ADWRIMP,469
APPDRGMON2,415
ACTD7590,9
ADWRJINO,474
APSY1MDE,488
ACTD9001,9
ADWRJITT,474
APSY2MDE,488
ACTDEVER,9
ADWRLOSE,472
ARELMDE,489
ACTDPRIV,9
ADWRLSIN,471
ARGUPAR,437
ACTDVIET,9
ADWRLSL2,473
ARXMDEYR,488
AD_MDEA1,475
ADWRNOGD,475
ASDSHOM2,485
AD_MDEA2,476
ADWRPLSR,471
ASDSREL2,485
AD_MDEA3,476
ADWRPREG,472
ASDSSOC2,485
AD_MDEA4,476
ADWRPROB,470
ASDSWRK2,485
AD_MDEA5,476
ADWRSLEP,473
ASOCMDE,489
AD_MDEA6,476
ADWRSLNO,474
ASTHMAAGE,540
AD_MDEA7,476
ADWRSLOW,474
ASTHMAEVR,534
AD_MDEA8,477
ADWRSMOR,473
ASTHMANOW,540
ADCOUNS,482
ADWRTHOT,474
ATXMDEYR,488
ADDPDISC,467
ADWRWRTH,475
AVGGRADE,436
ADDPLSIN,468
AGE3,8
BKARSON,45
ADDPPROB,469
AHBCHMDE,489
BKBURGL,44
ADDPR2WK,468
AHLTMDE,489
BKDRUG,46
ADDPREV,467
AIIND102,7
BKDRUNK,45
ADDSCEV,467
AIRDUSEVER,226
BKDRVINF,45
ADDSLSIN,468
AIRDUSTER,133
BKFRAUD,46
ADFAMDOC,481
AKSSLR6WRST,463
BKLARCNY,44
ADHERBAL,483
AL30EST,72
BKMVTHFT,43
ADLOSEV,467
ALBSTWAY,71
BKOTH,46
ADLSI2WK,468
ALCAGLST,378
BKOTHOF2,47
ADNURSE,482
ALCBNG30D,73
BKPOSTOB,45
ADOCMDE,488
ALCDAYS,72
BKROB,45
ADOTHDOC,481
ALCEVER,69
BKSEXNR,46
ADOTHHLP,483
ALCFLAG,210
BKSMASLT,44
ADOTHMHP,482
ALCMDAYS,242
BKSRVIOL,44
ADPB2WK,478
ALCMFU,70
BLNT30C1,103
ADPBAGE,478
ALCMLU,379
BLNT30C2,103
ADPBDLYA,477
ALCMON,210
BLNT30DY,102
ADPBINTF,477
ALCNUMDKPM,245
BLNTAGE,101
ADPBNUM,478
ALCREC,70
BLNTEVER,101
ADPBRMBR,478
ALCTRY,69
BLNTMFU,102
ADPSDAYS,480
ALCUS30D,72
BLNTNOMJ,104
ADPSHMGT,479
ALCYDAYS,240
BLNTREC,102
ADPSRELS,480
ALCYFU,69
BLNTYFU,101
ADPSSOC,480
ALCYLU,378
BLRECFL2,102
ADPSWORK,479
ALCYR,210
BMI2,542
ADPSYCH,481
ALCYRBFR,388
BNGDRKMON,221
ADPSYMD,482
ALCYRTOT,70
BNGDRMDAYS,244
ADRELIG,482
ALDAYPMO,71
BOOKED,43
ADRX12MO,483
ALDAYPWK,71
BZOANYYR,216
ADRXHLP,484
ALDAYPYR,71
BZONMYR,219
ADRXNOW,483
ALDYSFG,72
CABINGAGE,81
ADSEEDOC,481
ALFQFLG,70
CABINGEVR,81
ADSMMDEA,477
ALTOTFG,70
CABINGFLG,81
ADSOCWRK,482
AMDEIMP,486
CABINGMFU,82
ADSUITPACOM,466
AMDELT,484
CABINGYFU,81
ADSUITPAYR,466
AMDETXRX,488
CABLADDER,535
ADTMTHLP,484
AMDEYR,485
CABLOLEULYM,535
ADTMTNOW,483
AMIPY,464
CABPLACE,77
ADWRAGE,470
AMIRSUD5ANY,466
CABREAST,536
ADWRCHR,469
AMISUD5ANY,465
CABUNDAG,78
ADWRCONC,475
AMISUD5ANYO,466
CABUYFRE,77
ADWRDCSN,475
AMYLNIEVER,224
CABUYWHO,77
ADWRDEPR,470
AMYLNIT,131
CACERVIX,536
ADWRDIET,472
ANALWT2_C,4
CACOLNRECT,536
ADWRDISC,470
ANURSMDE,489
CADRBAR,75
ADWRDST,469
ANYEDUC3,441
CADRCAR,74
ADWRELES,471
ANYHLTI2,38
CADREVNT,75
ADWREMOR,471
ANYNDLREC,271
CADRHOME,75
ADWRENRG,473
ANYNEDFLAG,551
CADRKCOCN,80
ADWRGAIN,471
ANYNEDYR,551
CADRKCOCN2,86
ADWRGNL2,472
AOMDMDE,488
CADRKDRUG,79
Codebook Creation Date: 10/19/2023,560
